Source,Target,weight
The emperor,Zhuge Liang,30
The emperor,Zhang Fei,18
The emperor,Liu Bei,52
The emperor,Dong Cheng,12
The emperor,Ten Constant Attendants,4
The emperor,Imperial Father,10
The emperor,Dong Zhuo,15
The emperor,Zhao Yun,10
The emperor,Emperor Xian,11
The emperor,Cao Cao,64
The emperor,Wang Yun,4
The emperor,the Prince of Ji,8
The emperor,Lü Bu,5
The emperor,Guan Yu,9
The emperor,the Prince of Jing,6
The emperor,Ma Teng,7
The emperor,Ma Chao,6
The emperor,Downriver Wu,7
The emperor,Liu Zhang,4
The emperor,Zhang Song,4
The emperor,August Emperor,4
Sun Quan,Liu Bei,39
Sun Quan,Zhuge Liang,24
Sun Quan,Cao Cao,31
Sun Quan,Zhao Yun,4
Sun Quan,Lu Su,9
Sun Quan,Zhang Zhao,4
Sun Quan,Zhou Yu,10
Sun Quan,Zhang Fei,4
Sun Quan,Guan Yu,4
Emperor Xian,Dong Zhuo,9
Emperor Xian,Cao Cao,26
Emperor Xian,The emperor,11
Emperor Xian,Liu Bei,14
Emperor Xian,Zhuge Liang,7
Guan Yu,Zhao Yun,42
Guan Yu,Zhang Fei,96
Guan Yu,Liu Bei,131
Guan Yu,Zhuge Liang,45
Guan Yu,Zhang Biao,4
Guan Yu,Zhang Bao,4
Guan Yu,the Prince of Ji,15
Guan Yu,Yuan Shao,12
Guan Yu,Lü Bu,11
Guan Yu,Cao Cao,99
Guan Yu,"Lü Bu,",4
Guan Yu,Xiahou Dun,10
Guan Yu,Zhang Liao,7
Guan Yu,The emperor,9
Guan Yu,August Emperor,4
Guan Yu,Wen Chou,6
Guan Yu,the Prince of Jing,5
Guan Yu,Cai Yang,6
Guan Yu,Huang Zhong,6
Guan Yu,Ma Chao,5
Guan Yu,Lü Meng,4
Guan Yu,Sun Quan,4
Guan Yu,Downriver Wu,5
Guan Yu,Liu Feng,4
Cao Cao,Dong Zhuo,28
Cao Cao,Zhao Yun,61
Cao Cao,Emperor Xian,26
Cao Cao,Emperor Ling,4
Cao Cao,The emperor,64
Cao Cao,the farmer,4
Cao Cao,Liu Bei,345
Cao Cao,Lü Bu,56
Cao Cao,"Lü Bu,",16
Cao Cao,Zhang Fei,201
Cao Cao,Lü Bu.,13
Cao Cao,the prefect,18
Cao Cao,Sun Jian,4
Cao Cao,The soldier,7
Cao Cao,Yuan Shao,26
Cao Cao,the Prince of Ji,36
Cao Cao,Cao Bao,7
Cao Cao,Zhang Bao,10
Cao Cao,Guan Yu,99
Cao Cao,Liu Biao,8
Cao Cao,the prince,4
Cao Cao,Chen Gong,17
Cao Cao,Xiahou Dun,66
Cao Cao,Hou Cheng,7
Cao Cao,Zhang Liao,27
Cao Cao,Dong Cheng,7
Cao Cao,Imperial Father,5
Cao Cao,Ji Ping,18
Cao Cao,August Emperor,5
Cao Cao,Xu You,4
Cao Cao,Wen Chou,7
Cao Cao,Cai Yang,6
Cao Cao,the Prince of Jing,17
Cao Cao,Kuai Yue,17
Cao Cao,Cai Mao,11
Cao Cao,The master,8
Cao Cao,Xu Shu,12
Cao Cao,Sun Quan,31
Cao Cao,Zhuge Liang,186
Cao Cao,Liu Cong,14
Cao Cao,Liu Qi,4
Cao Cao,Consort Gan,4
Cao Cao,Downriver Wu,7
Cao Cao,Lu Su,25
Cao Cao,Zhang Zhao,10
Cao Cao,Wu Fan,10
Cao Cao,Zhou Yu,62
Cao Cao,Huang Gai,25
Cao Cao,Jiang Gan,13
Cao Cao,The grand marshal,5
Cao Cao,Jia Xu,6
Cao Cao,the young lady,6
Cao Cao,Ma Teng,9
Cao Cao,Ma Chao,47
Cao Cao,Ma Da,4
Cao Cao,Zhang Lu,13
Cao Cao,Liu Zhang,11
Cao Cao,Zhang Song,10
Cao Cao,Yang Xiu,8
Cao Cao,Qin Fu,4
Cao Cao,Wei Yan,9
Cao Cao,Huang Zhong,13
Cao Cao,Yan Yan,4
Cao Cao,Yi Ji,6
Cao Cao,Liu Feng,7
Cao Cao,Chen Deng,4
Liu Bei,Guan Yu,131
Liu Bei,Zhang Fei,263
Liu Bei,Zhang Yi,6
Liu Bei,Zhao Yun,120
Liu Bei,Jian Xianhe,12
Liu Bei,Zhuge Liang,238
Liu Bei,The grand marshal,15
Liu Bei,Zhang Biao,11
Liu Bei,Zhang Bao,14
Liu Bei,The emperor,52
Liu Bei,Ten Constant Attendants,8
Liu Bei,Duan Gui,4
Liu Bei,Dong Cheng,12
Liu Bei,the prefect,26
Liu Bei,Imperial Father,8
Liu Bei,Dong Zhuo,35
Liu Bei,Cao Cao,345
Liu Bei,Lü Bu,75
Liu Bei,"Lü Bu,",19
Liu Bei,Lü Bu.,13
Liu Bei,Sun Jian,7
Liu Bei,Yuan Shao,27
Liu Bei,the Prince of Ji,66
Liu Bei,Liu Biao,23
Liu Bei,the prince,7
Liu Bei,Chen Gong,10
Liu Bei,Yuan Shu,12
Liu Bei,Ji Ling,15
Liu Bei,Cao Bao,4
Liu Bei,Hou Cheng,5
Liu Bei,Zhang Liao,10
Liu Bei,Emperor Xian,14
Liu Bei,Emperor Ling,7
Liu Bei,the Prince of Jing,40
Liu Bei,Wu Zilan,6
Liu Bei,Ji Ping,6
Liu Bei,Che Zhou,5
Liu Bei,August Emperor,9
Liu Bei,Wen Chou,9
Liu Bei,Gong Gu,6
Liu Bei,Kuai Yue,13
Liu Bei,Cai Mao,10
Liu Bei,Xu Shu,18
Liu Bei,Sun Quan,39
Liu Bei,Liu Zhang,22
Liu Bei,Xiahou Dun,10
Liu Bei,Liu Feng,10
Liu Bei,Liu Cong,13
Liu Bei,Liu Qi,5
Liu Bei,Downriver Wu,11
Liu Bei,Lu Su,32
Liu Bei,Zhou Yu,50
Liu Bei,the troops of Wu,6
Liu Bei,the young lady,13
Liu Bei,The young lady,5
Liu Bei,Pang Tong,20
Liu Bei,Wei Yan,6
Liu Bei,Huang Zhong,9
Liu Bei,Ma Chao,13
Liu Bei,Zhang Lu,8
Liu Bei,Zhang Song,13
Liu Bei,Qin Fu,9
Liu Bei,Yan Yan,6
Liu Bei,Liu Shan,11
Liu Bei,Meng Da,4
